,Timestamp,ind_1,ind_2,Please elaborate on your answer above. ,Participant_Id,Persona,Pretest Preferred Metric
10,2020/09/10 1:51:28 PM MDT,Model_2,Model_4,"My persona was the fairness advocate, who wants to prevent unfair treatment to some demographic. Therefore, it would be in my best interest to find a model with low disparity. Of all the models, 2 and 5 had the lowest disparity.",55,Fairness Advocate,"Minimizing False Positive Rate,Minimizing False Negative Rate,Maximizing True Negative Rate,Maximizing True Positive Rate"
11,2020/09/10 1:51:49 PM MDT,Model_3,Model_1,dont want to punish good people. thought this was the highest cost so wanted the lowest false positive rate while keeping false negatives relatively low as well.,44,NA,
12,2020/09/10 1:51:53 PM MDT,Model_2,Model_8,"Overall, in a system for checking recidivism, my opinion is that missing someone who has a high chance of being a repeat offender is more severe a mistake than accidentally labeling someone as such, and as such I prioritize a low rate of false negatives. However, disparity between demographics is also something to be minimized, as we want our judicial system to be ideally blind to race and sex and such.",14,NA,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Maximizing Accuracy"
13,2020/09/10 1:51:58 PM MDT,Model_7,Model_3,"For a recidivism algorithm, I'm particularly worried about false positives because I think it would be terrible to assume someone guilty of a crime they have yet to commit. In addition, for something racially influenced, I'm interested in low disparity rates. Both Model 7 and Model 3 have low FPR and Disparity but are also well balanced in Accuracy and FNR and do not hit any extremes (>90%).",32,NA,"Maximizing Accuracy,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
14,2020/09/10 1:52:07 PM MDT,Model_5,Model_3,Model 5 is fair to both groups and Model 3 is accurate while trying to be fair,36,NA,"Maximizing Accuracy,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Others"
15,2020/09/10 1:52:42 PM MDT,Model_3,Model_7,"As a judge, I care more about the overall accuracy than others.",45,Judge,Maximizing Accuracy
16,2020/09/10 1:53:02 PM MDT,Model_7,Model_5,"These models have the lowest false positive rates. I chose model 7 over model 5, because although the false positive rate is higher in 7 than in 5, 7 has a +3% higher accuracy rate than 5.",11,Defendent,"Minimizing False Negative Rate,Maximizing Accuracy,Minimizing False Positive Rate,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Maximizing True Positive Rate"
17,2020/09/10 1:53:11 PM MDT,Model_7,Model_5,"I made those decision because I thought the FPR was the most important and then the overall accuracy. This is because  false positive cases can be very detrimental and accuracy is generally important to rely on the the algorithm's performance. Therefore, I first chose Model 7 with good accuracy and FPR. Then, I chose Model 5 with good FPR and disparity in FPR. ",4,NA,Maximizing Accuracy
18,2020/09/10 1:53:14 PM MDT,Model_2,Model_8,"I believe that the lower the false negative rate, the less likely we'll have people that will re-offend who were released. ",60,NA,"Minimizing False Negative Rate,Maximizing True Positive Rate"
19,2020/09/10 1:53:18 PM MDT,Model_7,Model_5,I focused mainly on the accuracy and the lowest false positive rate.,24,NA,"Maximizing Accuracy,Minimizing False Positive Rate,Maximizing True Positive Rate"
20,2020/09/10 1:53:44 PM MDT,Model_3,Model_7,"Ultimately, in a criminal justice system, we want to make sure that justice is served. By prioritizing accuracy, we ensure that we have maximized our ability to prosecute a criminal accurately, and that their sentence most closely reflects their actual likelihood of committing a crime. Although this may lead to false positives, which are unfortunate, these are necessary to maximize the overall safety of society and ensure that, on aggregate, dangerous criminals are kept locked away where they have no ability to re-offend. Especially in the case where this model is rolled out on a broader scale, by ensuring accuracy, we can ensure that fewer crimes are committed in the future by maximizing accuracy.",39,Judge,Maximizing Accuracy
21,2020/09/10 1:54:04 PM MDT,Model_5,Model_7,"As a defendant, I would want a lower FPR rate, and of all the options, these two models have the lowest rates. Since I am a defendant and I have to prove that I have changed/will not do something bad again, having a low FPR means that  the rate of being falsely predicted to re-offend among all those who do not re-offend is low. Therefore the chances of being accused is lower and would be better for me as a defendant, especially since I do not want to receive the punishment if I did not commit a crime. ",58,Defendent,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
22,2020/09/10 1:54:18 PM MDT,Model_3,Model_7,"Since I did not think that there is much worse in either a false positive or false negative in this case I emphasized on the fact that it must have good Accuracy alone. Furthermore, I also picked the models that did not have a high disparity rate because it will become more fair",23,NA,"Maximizing Accuracy,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
23,2020/09/10 1:54:50 PM MDT,Model_5,Model_7,model 5 and 7 have the lowest FPR for African Americans,13,NA,
24,2020/09/10 1:55:44 PM MDT,Model_3,Model_1,"Both these models have high accuracy - my first concern. I chose model 3 over model 1 as the disparity values are overall lower, and we have the highest overall accuracy out of all models. Other factors like a more favorable False Negative Rate overall and a comparable False Positive Rate to model 3. ",46,Judge,"Maximizing Accuracy,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Maximizing True Positive Rate"
25,2020/09/10 1:55:51 PM MDT,Model_8,Model_2,"As a community member, I would like the model with the lowest false negative rate. Model 8 has the lowest so this is the best choice to prevent reoffending criminals and keeping the community safe. Model 2 had the second lowest false negative rate, so that is my second choice.",31,Community Member,"Minimizing False Positive Rate,Minimizing False Negative Rate,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Maximizing Accuracy"
26,2020/09/10 1:55:57 PM MDT,Model_8,Model_2,"As a Community member, I would prioritize the models with lowest numbers of FNs, since as a community member I would be more concerned if someone who could reoffend in the community was out there doing more crime.",41,Community Member,"Maximizing True Positive Rate,Maximizing Accuracy,Minimizing False Positive Rate,Minimizing False Negative Rate,Maximizing True Negative Rate"
27,2020/09/10 1:56:13 PM MDT,Model_8,Model_2,"As a community member, I would say I care more about false negative rate since I hope there aren't many potential criminal hide in the community. That's how I pick my top two model.

When compared with these two specific models, I did consider the false positive rate could also be one important factor but it is not that important to find the hidden one so that it might turn false positive rate a bit higher.

Overall, I would say considering since the accuracy and disparity are relative similar
In that case, I'll pick the model 8 as top and model 2 as second choice.",51,Community Member,"Maximizing Accuracy,Minimizing False Negative Rate,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Minimizing False Positive Rate"
28,2020/09/10 1:56:26 PM MDT,Model_1,Model_4,"I think that these two models did relatively well in all categories without discriminating by a lot, but also don't sacrifice too much accuracy.",17,NA,Maximizing Accuracy
29,2020/09/10 1:56:32 PM MDT,Model_7,Model_5,"The I felt accuracy was an important goal, as well as reducing false positives",22,NA,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
30,2020/09/10 1:57:05 PM MDT,Model_3,Model_7,No reason,27,NA,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Maximizing Accuracy"
31,2020/09/10 1:58:10 PM MDT,Model_2,Model_4,"The persona for me is to advocate the model with lower disparity. I think Model 2, 4, 5, 8 have better performance on disparity accuracy. But the model 8 performs badly on disparity FPR. In general, I think model 2 performs better on the disparity. And for the second top choice, I think higher FNR may cause bigger problem because that may let bad people run away. So I choice model 4 since it has lower FNR. ",21,Fairness Advocate,
32,2020/09/10 1:58:21 PM MDT,Model_4,Model_3,"It's a difficult choice. Both models produces fair accuracy rate while the false positive/false negative is not sky-high. I don't like the ones that generate crazy false positive or false negative rate since both are dangerous for the society. From the disparity, different demographics' rates are close to some extent. ",53,NA,"Minimizing False Positive Rate,Minimizing False Negative Rate,Maximizing Accuracy"
33,2020/09/10 1:58:21 PM MDT,Model_8,Model_2,As a community member who values safety my first pick would be Model_8 since it has a drastically lower False Negative Rate compared to the rest of the cards.  A lower rate of false negatives means that there were less people who were predicted to not reoffend and actually did reoffend.  My next pick would be Model_2 because it has a similarly low rate of False Negative Rate at 29.8%.  This card also has low rates of disparity which is also influential in my decision making.,26,Community Member,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Maximizing Accuracy"
34,2020/09/10 1:58:33 PM MDT,Model_2,Model_5,"Since I'm a fairness advocate, I want the model to have a lower disparity between the different demographic groups. From the overview card, we can see that models 2,4,5,8 perform relatively well with regard to the disparity between the demographic groups. Upon examining the details of the models, we can see that model 2 has relatively low disparity in accuracy and in FNR, albeit the disparity in FPR is not the lowest. Therefore, I choose Model 2 to be my first choice for recidivism prediction algorithm. Model 5 has higher disparity in accuracy, but it has pretty good disparity in FPR and FNR, so I choose model 5 as my second choice. ",5,Fairness Advocate,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Maximizing Accuracy"
35,2020/09/10 1:59:14 PM MDT,Model_3,Model_2,Model 3 has the highest accuracy while Model 2 has 0% disparity in accuracy.,9,Judge,
36,2020/09/10 1:59:52 PM MDT,Model_5,Model_7,"I would pick model 5 as my first choice, because it has the lowest false positive rate. As a defendant, I would want this so I don't get accused of being a re-offender based on a faulty prediction. I would pick model 7 as my second choice, because it has the second-lowest false positive rate. ",56,Defendent,"Maximizing Accuracy,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
37,2020/09/10 2:00:01 PM MDT,Model_3,Model_1,"Model 3 as it performs well for accuracy  and does not perform badly for any other category, followed by model 1.",59,NA,"Maximizing Accuracy,Minimizing False Negative Rate,Maximizing True Positive Rate,Minimizing False Positive Rate"
38,2020/09/10 2:00:27 PM MDT,Model_4,Model_8,"I have selected models which minimize disparity between the two groups. Because of the current social tension, I believe that the model should be fair with the two groups. Also, even if the FNR/FPR rate is less, there is still human intervention left to correct the mistake. ",48,NA,"Maximizing True Positive Rate,Minimizing False Negative Rate,Minimizing False Positive Rate,Maximizing Accuracy,Maximizing True Negative Rate,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
39,2020/09/10 2:01:00 PM MDT,Model_4,Model_6,"some of the other models were really high on either false positives or false negatives. These were the only ones that had a reasonable balance. Among 4 and 6, 4 had lower disparity among the groups",28,NA,"Maximizing True Positive Rate,Maximizing Accuracy,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Maximizing True Negative Rate,Minimizing False Negative Rate,Minimizing False Positive Rate"
40,2020/09/10 2:01:02 PM MDT,Model_2,Model_5,I will not put the accuracy in the first place for this prediction algorithm. I think some model shows obvious bias related to races. I choose model 2&5 because I think they show less bias.,34,NA,"Maximizing True Positive Rate,Minimizing False Negative Rate,Maximizing Accuracy,Minimizing False Positive Rate"
41,2020/09/10 2:01:07 PM MDT,Model_2,Model_4,These 2 models have relatively lower disparity for accuracy and error rates.,20,Fairness Advocate,"Maximizing Accuracy,Minimizing False Negative Rate"
42,2020/09/10 2:01:28 PM MDT,Model_8,Model_2,"As a community member, I am more concerned that the model should have a lower false negative rate as the re-offending behavior in the community needs to be reduced. If the false negative rate is higher then the ones who are believed to not re-offend in the future actually do re-offend which hampers the community as a whole.",57,Community Member,"Maximizing True Positive Rate,Minimizing False Positive Rate,Maximizing Accuracy,Maximizing True Negative Rate,Minimizing False Negative Rate"
43,2020/09/10 2:01:32 PM MDT,Model_4,Model_1,Model 4 and 1 seem to have a high accuracy rate with fairly even false positive and false negative rate between White and African Americans. The false positive and false negative rates are not very high compared for Model 4 to the other models. I chose Model 1 as my second choice because it is less effective for predicting for African Americans. ,6,NA,Maximizing Accuracy
44,2020/09/10 2:03:05 PM MDT,Model_5,Model_7,Model 5 has low FPR and higher FNR and hence is better prediction for recidivism. Model 7 has slightly higher FPR and slightly lower FNR and hence reduces true predictions/increases false predictions.,15,NA,"Maximizing True Positive Rate,Maximizing Accuracy,Minimizing False Negative Rate"
45,2020/09/10 2:03:09 PM MDT,Model_3,Model_4,There are no attributes that perform relatively badly,61,NA,Minimizing False Positive Rate
46,2020/09/10 2:03:40 PM MDT,Model_8,Model_2,"Looking at the lowest false negative rate, which I think has a high cost associated with it. ",10,NA,"Maximizing Accuracy,Minimizing False Positive Rate,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
47,2020/09/10 2:04:01 PM MDT,Model_4,Model_3,"4 has a better Dis/Acc, and also the FPR/FNR are balance and the FPR is lower than FNR, which cause less people who are not guilty but put in jail.",37,NA,
48,2020/09/10 2:05:02 PM MDT,Model_3,Model_7,As a judge I want the model to have higher accuracy. Model 3 has the highest accuracy so it's my first choice. Model 7 has the second highest accuracy so it's my second choice.,18,Judge,
49,2020/09/10 2:05:22 PM MDT,Model_3,Model_5,These two models have a good accuracy rate. The false positive rate is low.,7,NA,Minimizing False Negative Rate
50,2020/09/10 2:05:25 PM MDT,Model_3,Model_1,"model 3: Highest accuracy at aprox. 70%, fairly balanced white vs african american percentage rate for less biased results, accuracy disparity low 4.9%, low false positive rate which I believe is more important.  Better to have a low false positive rate at an expense of a higher false negative rate.  

model1: slightly lower accuracy than model 1, also balance white vs african american percentage rate for less biased results, also slightly lower false positive rate than model 3 at the expense of a higher false negative rate.",25,NA,
51,2020/09/10 2:05:56 PM MDT,Model_3,Model_5,"In a recidivism prediction, the important metrics would be the Accuracy and FPR, because, ethically, capturing innocent people has a worse cost than letting a criminal go this time. at the same time, we don't want the algorism to create bias between two groups, so the disparity of FPR is also important.
- number 3 is doing not bad in all metrics and good in accuracy
- group 7 is doing well on the two important metrics that I mentioned FNR, and accuracy, that's why I choose it as the second one
- number 5 performs best in Disparity of FPR , and FPR, but is too bad in FNR",40,NA,"Minimizing False Positive Rate,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
52,2020/09/10 2:07:26 PM MDT,Model_2,Model_4,"low disparity, high false positive",50,Fairness Advocate,Maximizing Accuracy
53,2020/09/10 2:09:06 PM MDT,Model_5,Model_7,"For predictive algorithm to be effective, the false positive rate should be low. A high number for false positive rate would mean that more innocent criminals are being punished even though there chances of re-offending are 0 i.e. they won't reoffend. ",33,NA,"Maximizing True Positive Rate,Maximizing Accuracy,Minimizing False Positive Rate,Minimizing False Negative Rate,Maximizing True Negative Rate,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
55,2020/09/10 3:52:29 PM MDT,Model_3,Model_7,"I am a judge, I have to make a accurate decision when I sentence the order to defenders.  ",29,Judge,Maximizing True Positive Rate
56,2020/09/10 6:09:16 PM MDT,Model_7,Model_3,"Model 7 has an overall balanced performance for both accuracy and false positive rate, the two main metrics for the particular case. Model 3 has higher false positive rate but a higher accuracy and the rest of the metrics are more balanced.",2,Defendent,"Maximizing Accuracy,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
57,2020/09/11 8:28:13 AM MDT,Model_2,Model_4,"I choose models 2 & 4 because from my(fairness advocate) perspective, I want a model with low disparity. 2 & 4 are the two models with lowest disparity.",3,Fairness Advocate,"Maximizing True Positive Rate,Maximizing Accuracy"
58,2020/09/11 8:29:09 AM MDT,Model_2,Model_8,"As a community member concerned with reduced False Negative Rates, these two models have the lowest FNR without sacrificing too much Accuracy (none of the models seems to have accuracy > 70%, and these two have 60% which is admittedly the lower side, but doesn't seem that wildly out of left field). I prefer 2 to 8 because it seems to induce less disparity in False Positives, while having a low (compared to its peers) FNR. It doesn't sit right with me to select a model that has as wide a disparity in FPR as Model 8 when Model 2 exists, especially because recidivism prediction algorithms don't exist in a bubble: they are part of a larger, already biased, criminal justice system. ",52,NA,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Maximizing Accuracy"
59,2020/09/11 8:29:40 AM MDT,Model_5,Model_7,"As a defendant, I needed a model that has lower FPR and the main reason I chose Model 5 and Model 7 is because both have the lowest False Positive Rate respectively (1.9% and 4.7%). Along with that the accuracy was pretty high (66.7%, 69.5%) for both as well.",19,Defendent,Minimizing False Positive Rate
60,2020/09/11 8:30:25 AM MDT,Model_3,Model_7,"As the judge, I wanted to select a predictive algorithm that was as accurate as possible so that I can ensure that I am making the right decision when sentencing a defendant. My top two choices had the highest accuracy amongst the other models. Additionally, my top choice also had the lowest disparity in accuracy.",8,Judge,"Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics,Minimizing False Positive Rate,Maximizing Accuracy,Minimizing False Negative Rate"
61,2020/09/11 8:30:31 AM MDT,Model_2,Model_8,"As a community member, my priority is minimizing the false negative rate. Model 2 does the best job of minimizing the false negative rate while also minimizing disparity between White americans and African americans.",35,Community Member,"Minimizing False Positive Rate,Minimizing disparity (of FPRs\, FNRs\, accuracy rates) between demographics"
